,brand,year
197176,Kia,1996
197191,Kia,2019
197200,Kia,2014
197201,Kia,2019
197210,Kia,2002
197224,Kia,2021
197225,Kia,2022
197237,Kia,2013
197238,Kia,2019
197242,Kia,2019
197243,Kia,2021
197249,Kia,2013
197269,Kia,2016
197274,Kia,2011
197293,Kia,2014
197294,Kia,2011
197296,Kia,2011
197304,Kia,2015
197307,Kia,2001
197308,Kia,2003
197319,Kia,2014
197321,Kia,2022
197322,Kia,2021
197323,Kia,1998
197330,Kia,2013
197331,Kia,2021
197333,Kia,2016
197335,Kia,2016
197369,Kia,2021
197371,Kia,2018
197372,Kia,2013
197374,Kia,2016
197377,Kia,2017
197379,Kia,2017
197388,Kia,2013
197390,Kia,2017
197394,Kia,2017
197423,Kia,2021
197424,Kia,2019
197425,Kia,2019
197426,Kia,2017
197428,Kia,2017
197429,Kia,2021
197430,Kia,2021
197455,Kia,2021
197456,Kia,2021
197457,Kia,2017
197458,Kia,2021
197460,Kia,2021
197461,Kia,2021
197462,Kia,2022
197465,Kia,2022
197473,Kia,2013
197475,Kia,2021
197476,Kia,2020
197477,Kia,2020
197478,Kia,2020
197479,Kia,2020
197480,Kia,2019
197481,Kia,2020
197482,Kia,2020
197483,Kia,2020
197484,Kia,2021
197486,Kia,2021
197487,Kia,2020
197488,Kia,2014
197490,Kia,2014
197492,Kia,2014
197494,Kia,2013
197497,Kia,2005
197502,Kia,2021
197517,Kia,2022
197518,Kia,2022
197519,Kia,2022
197521,Kia,2019
197522,Kia,2022
197523,Kia,2022
197525,Kia,2022
197526,Kia,2021
197527,Kia,2021
197528,Kia,2021
197529,Kia,2021
197530,Kia,2020
197531,Kia,2022
197532,Kia,2021
197533,Kia,2021
197534,Kia,2021
197535,Kia,2022
197536,Kia,2022
197537,Kia,2022
197539,Kia,2021
197542,Kia,2021
197543,Kia,2021
197544,Kia,2022
197545,Kia,2022
197546,Kia,2021
197547,Kia,2019
197548,Kia,2021
197551,Kia,2015
197555,Kia,2015
197562,Kia,2015
197563,Kia,2015
197571,Kia,2020
197577,Kia,2020
197579,Kia,2020
197602,Kia,2015
197622,Kia,2015
197623,Kia,2013
197630,Kia,2020
197631,Kia,2004
197641,Kia,2014
197659,Kia,2011
197663,Kia,2018
197664,Kia,2012
197665,Kia,2012
197666,Kia,2012
197667,Kia,2012
197685,Kia,2017
197692,Kia,2015
197696,Kia,2015
197744,Kia,2013
197746,Kia,2016
197755,Kia,2017
197758,Kia,2017
197761,Kia,2017
197766,Kia,2013
197767,Kia,2014
197768,Kia,2016
197770,Kia,2014
197772,Kia,2014
197773,Kia,2019
197774,Kia,2013
197779,Kia,2019
197783,Kia,2014
197784,Kia,2019
197794,Kia,2013
197796,Kia,2019
197798,Kia,2014
197799,Kia,2020
197801,Kia,2020
197803,Kia,2014
197804,Kia,2020
197805,Kia,2014
197811,Kia,2008
197820,Kia,2002
197821,Kia,2016
197824,Kia,2013
197829,Kia,2020
197830,Kia,2010
197832,Kia,2019
197835,Kia,2002
197837,Kia,2019
197840,Kia,2010
197861,Kia,2021
197876,Kia,2016
197880,Kia,2020
197888,Kia,2020
197925,Kia,2016
197931,Kia,2022
197932,Kia,2018
197935,Kia,2016
197939,Kia,2017
197946,Kia,2016
197949,Kia,2016
197952,Kia,2016
197959,Kia,2016
197972,Kia,2016
197975,Kia,2016
197984,Kia,2016
197987,Kia,2006
198008,Kia,2013
198009,Kia,2013
198021,Kia,2017
198029,Kia,2017
198030,Kia,2013
198040,Kia,2019
198042,Kia,2019
198043,Kia,2004
198047,Kia,2017
198052,Kia,2013
198054,Kia,2016
198055,Kia,2020
198084,Kia,2009
198090,Kia,2004
198096,Kia,2014
198102,Kia,2017
198105,Kia,2016
198112,Kia,2015
198120,Kia,2009
198123,Kia,2015
198133,Kia,2016
198146,Kia,2018
198149,Kia,2020
198158,Kia,2013
198166,Kia,1997
198172,Kia,2013
198179,Kia,2013
198187,Kia,2013
198201,Kia,2022
198215,Kia,2014
198234,Kia,2009
198240,Kia,2003
198244,Kia,2003
198249,Kia,2003
198252,Kia,2021
198267,Kia,2021
198268,Kia,2022
198271,Kia,2022
198272,Kia,2022
198273,Kia,2022
198274,Kia,2022
198288,Kia,2016
198289,Kia,2015
198293,Kia,2016
198298,Kia,2015
198304,Kia,2015
198311,Kia,2006
198315,Kia,2020
198318,Kia,2013
198319,Kia,2016
198321,Kia,2013
198324,Kia,2020
198327,Kia,2020
198328,Kia,2013
198346,Kia,2015
198358,Kia,2012
198367,Kia,2020
198378,Kia,2016
198398,Kia,2008
198408,Kia,2020
198412,Kia,2014
198413,Kia,2014
198415,Kia,2020
198418,Kia,2020
198423,Kia,2011
198429,Kia,2016
198441,Kia,2015
198446,Kia,2003
198450,Kia,2019
198452,Kia,2014
198453,Kia,2014
198466,Kia,2018
198471,Kia,2018
198472,Kia,2017
198473,Kia,2013
198476,Kia,2016
198478,Kia,2016
198484,Kia,2022
198486,Kia,2019
198488,Kia,2022
198489,Kia,2022
198491,Kia,2013
198493,Kia,2008
198504,Kia,2008
198505,Kia,2013
198520,Kia,2014
198521,Kia,2020
198539,Kia,2020
198555,Kia,2013
198557,Kia,2015
198558,Kia,2021
198559,Kia,2013
198584,Kia,2015
198585,Kia,2018
198588,Kia,2019
198590,Kia,2013
198592,Kia,2014
198598,Kia,2016
198599,Kia,2015
198617,Kia,2015
198619,Kia,1999
198626,Kia,2013
198633,Kia,2011
198636,Kia,2013
198674,Kia,2013
198675,Kia,2016
198687,Kia,2018
198697,Kia,2015
198700,Kia,2002
198701,Kia,2015
198703,Kia,2016
198705,Kia,2020
198706,Kia,2011
198711,Kia,2016
198713,Kia,2011
198726,Kia,2015
198730,Kia,2014
198731,Kia,2015
198736,Kia,2005
198737,Kia,2014
198741,Kia,2014
198743,Kia,2014
198755,Kia,2013
198758,Kia,2013
198769,Kia,2013
198777,Kia,2013
198785,Kia,2013
198806,Kia,2014
198811,Kia,2008
198812,Kia,2008
198820,Kia,2008
198826,Kia,2014
198831,Kia,2014
198833,Kia,2014
198834,Kia,2014
198838,Kia,2014
198841,Kia,2014
198847,Kia,2018
198850,Kia,2018
198882,Kia,2013
198898,Kia,2020
198900,Kia,2020
198902,Kia,2017
198917,Kia,2016
198921,Kia,2016
198925,Kia,2016
198979,Kia,2018
198981,Kia,2018
198999,Kia,2013
199006,Kia,2016
199009,Kia,2016
199010,Kia,2016
199039,Kia,2013
199057,Kia,2018
199064,Kia,2018
199070,Kia,2016
199074,Kia,2015
199084,Kia,2015
199085,Kia,2020
199088,Kia,2016
199091,Kia,2016
199092,Kia,2013
199097,Kia,2013
199098,Kia,2012
199099,Kia,2013
199100,Kia,2016
199102,Kia,2013
199103,Kia,2016
199106,Kia,2013
199120,Kia,2003
199127,Kia,2018
199143,Kia,2014
199146,Kia,2014
199147,Kia,2015
199148,Kia,2015
199155,Kia,2009
199157,Kia,2014
199162,Kia,2014
199164,Kia,2014
199168,Kia,2014
199170,Kia,2014
199171,Kia,2014
199177,Kia,2017
199182,Kia,2014
199198,Kia,2014
199202,Kia,2013
199206,Kia,2013
199208,Kia,2015
199210,Kia,2015
199214,Kia,2013
199215,Kia,2013
199220,Kia,2013
199227,Kia,2016
199231,Kia,2014
199239,Kia,2016
199290,Kia,2008
199296,Kia,2016
199303,Kia,2008
199305,Kia,2014
199308,Kia,2016
199310,Kia,2008
199316,Kia,2013
199318,Kia,2018
199323,Kia,2014
199363,Kia,2013
199391,Kia,2013
199393,Kia,2013
199397,Kia,2013
199412,Kia,2016
199415,Kia,2016
199416,Kia,2013
199431,Kia,2020
199449,Kia,2013
199458,Kia,2016
199501,Kia,2013
199511,Kia,2015
199519,Kia,2014
199527,Kia,2016
199530,Kia,2016
199531,Kia,2014
199546,Kia,2014
199598,Kia,2013
199657,Kia,2003
199664,Kia,2016
199679,Kia,2013
199686,Kia,2012
199692,Kia,2011
199716,Kia,2012
199725,Kia,2016
199735,Kia,2017
199744,Kia,2016
199745,Kia,2018
199761,Kia,2013
199780,Kia,2016
199784,Kia,2011
199787,Kia,2009
199798,Kia,2014
199810,Kia,2013
199846,Kia,2008
199849,Kia,2008
199850,Kia,2012
199852,Kia,2014
199853,Kia,2014
199854,Kia,2020
199864,Kia,2011
199870,Kia,2017
199874,Kia,2017
199878,Kia,2019
199879,Kia,2018
199886,Kia,2019
199887,Kia,2019
199889,Kia,2018
199891,Kia,2018
199892,Kia,2016
199894,Kia,2019
199906,Kia,2004
199915,Kia,2013
199926,Kia,2006
199931,Kia,2008
199933,Kia,2002
199937,Kia,2009
199957,Kia,2014
199958,Kia,2005
199973,Kia,2016
199974,Kia,2010
199981,Kia,2016
200026,Kia,2015
200039,Kia,2012
200041,Kia,2013
200044,Kia,2013
200050,Kia,2013
200052,Kia,2013
200058,Kia,2013
200065,Kia,2013
200076,Kia,2003
200084,Kia,2016
200090,Kia,2014
200091,Kia,2006
200098,Kia,2016
200099,Kia,2000
200121,Kia,2011
200126,Kia,2011
200127,Kia,2011
200129,Kia,2011
200130,Kia,2011
200131,Kia,2011
200133,Kia,2011
200134,Kia,2011
200136,Kia,2017
200146,Kia,2017
200161,Kia,2020
200183,Kia,2016
200212,Kia,2009
200223,Kia,2016
200231,Kia,2016
200232,Kia,2016
200252,Kia,2002
200301,Kia,2016
200304,Kia,2010
200312,Kia,2020
200314,Kia,2000
200327,Kia,2014
200333,Kia,2016
200337,Kia,2013
200340,Kia,2016
200342,Kia,2014
200345,Kia,2012
200350,Kia,2014
200351,Kia,2014
200356,Kia,2008
200364,Kia,2013
200387,Kia,2016
200393,Kia,2015
200396,Kia,2013
200404,Kia,2013
200427,Kia,2013
200447,Kia,2016
200451,Kia,2020
200453,Kia,2016
200461,Kia,2016
200466,Kia,2013
200467,Kia,2014
200468,Kia,2016
200472,Kia,2016
200478,Kia,2016
200485,Kia,2016
200486,Kia,2016
200490,Kia,2016
200492,Kia,2018
200506,Kia,2014
200511,Kia,2003
200513,Kia,2010
200531,Kia,2015
200548,Kia,2019
200552,Kia,2009
200554,Kia,2015
200574,Kia,2008
200583,Kia,2016
200584,Kia,2013
200595,Kia,2000
200601,Kia,2013
200606,Kia,1994
200620,Kia,2013
200629,Kia,2014
200637,Kia,2008
200638,Kia,2013
200653,Kia,2009
200661,Kia,2016
200671,Kia,2016
200672,Kia,2016
200673,Kia,2013
200682,Kia,2014
200693,Kia,2013
200708,Kia,2020
200717,Kia,2017
200724,Kia,2019
200736,Kia,2016
200738,Kia,2019
200750,Kia,2016
200776,Kia,2010
200779,Kia,2016
200787,Kia,2015
200789,Kia,2003
200793,Kia,2016
200796,Kia,2016
200797,Kia,2013
200820,Kia,2013
200841,Kia,2013
200845,Kia,2013
200855,Kia,2019
200857,Kia,2014
200863,Kia,2016
200871,Kia,2014
200873,Kia,2017
200879,Kia,2014
200881,Kia,2014
200891,Kia,2014
200895,Kia,2012
200897,Kia,2014
200899,Kia,2003
200900,Kia,2014
200901,Kia,2003
200905,Kia,2020
200914,Kia,2011
200948,Kia,2016
200951,Kia,2016
200953,Kia,2014
200959,Kia,2014
200964,Kia,2020
200975,Kia,2016
200985,Kia,2016
201019,Kia,2006
201021,Kia,2016
201030,Kia,2010
201034,Kia,2015
201036,Kia,2017
201041,Kia,2003
201046,Kia,2015
201050,Kia,2015
201054,Kia,2020
201067,Kia,2012
201083,Kia,2016
201085,Kia,2013
201087,Kia,2016
201092,Kia,2014
201096,Kia,2013
201106,Kia,2013
201109,Kia,2014
201115,Kia,2013
201118,Kia,2014
201119,Kia,2013
201124,Kia,2013
201125,Kia,2002
201141,Kia,2014
201145,Kia,2013
201147,Kia,2013
201152,Kia,2013
201158,Kia,2014
201160,Kia,2016
201169,Kia,2015
201175,Kia,2013
201179,Kia,2014
201186,Kia,2022
201200,Kia,2015
201202,Kia,2013
201203,Kia,2018
201204,Kia,2018
201205,Kia,2013
201206,Kia,2014
201208,Kia,2014
201209,Kia,2013
201212,Kia,2021
201219,Kia,2017
201224,Kia,2013
201226,Kia,2016
201239,Kia,2016
201241,Kia,2015
201242,Kia,2014
201243,Kia,2009
201252,Kia,2016
201260,Kia,2014
201263,Kia,2016
201264,Kia,2014
201267,Kia,2016
201280,Kia,2016
201284,Kia,2015
201285,Kia,2018
201289,Kia,2018
201299,Kia,2013
201313,Kia,2020
201323,Kia,2013
201324,Kia,2012
201326,Kia,2015
201354,Kia,2016
201376,Kia,2003
201377,Kia,1993
201434,Kia,2014
201435,Kia,2019
201440,Kia,2014
201443,Kia,2015
201444,Kia,2013
201452,Kia,2014
201454,Kia,2014
201464,Kia,2013
201473,Kia,2013
201475,Kia,2013
201483,Kia,2005
201486,Kia,2009
201487,Kia,2014
201489,Kia,2016
201492,Kia,2019
201496,Kia,2016
201500,Kia,2010
201501,Kia,2013
201505,Kia,2019
201506,Kia,2019
201516,Kia,2019
201525,Kia,2016
201526,Kia,2005
201529,Kia,2013
201532,Kia,2013
201533,Kia,2014
201548,Kia,2013
201550,Kia,2014
201556,Kia,2014
201562,Kia,2018
201572,Kia,2022
201576,Kia,2014
201580,Kia,2014
201584,Kia,2016
201597,Kia,2003
201605,Kia,2014
201610,Kia,2016
201622,Kia,2013
201642,Kia,2014
201651,Kia,2019
201652,Kia,2013
201655,Kia,2016
201660,Kia,2006
201663,Kia,2014
201666,Kia,2016
201675,Kia,2004
201686,Kia,2018
201688,Kia,2019
201703,Kia,2017
201725,Kia,2019
201737,Kia,2014
201746,Kia,2019
201747,Kia,2016
201753,Kia,2014
201760,Kia,2013
201784,Kia,2020
201785,Kia,2020
201787,Kia,2011
201791,Kia,2016
201797,Kia,2015
201799,Kia,2014
201804,Kia,2016
201808,Kia,2013
201812,Kia,2020
201813,Kia,2011
201824,Kia,2016
201831,Kia,2016
201832,Kia,2016
201835,Kia,2011
201836,Kia,2020
201837,Kia,2020
201840,Kia,2016
201846,Kia,2013
201848,Kia,2016
201849,Kia,2013
201850,Kia,2020
201853,Kia,2015
201856,Kia,2013
201882,Kia,2014
201894,Kia,2013
201900,Kia,2014
201902,Kia,2013
201911,Kia,2018
201914,Kia,2014
201920,Kia,2014
201921,Kia,2018
201938,Kia,2014
201947,Kia,2013
201969,Kia,2014
201976,Kia,2016
201987,Kia,2017
201988,Kia,2015
201991,Kia,2015
201996,Kia,2017
201997,Kia,2017
202000,Kia,2017
202002,Kia,2015
202003,Kia,2013
202004,Kia,2014
202008,Kia,2016
202009,Kia,2013
202012,Kia,2015
202014,Kia,2017
202015,Kia,2020
202016,Kia,2013
202020,Kia,2015
202022,Kia,2013
202023,Kia,2013
202024,Kia,2020
202025,Kia,2019
202037,Kia,2015
202038,Kia,2015
202039,Kia,2017
202040,Kia,2017
202041,Kia,2013
202043,Kia,2015
202045,Kia,2016
202047,Kia,2020
202048,Kia,2013
202049,Kia,2014
202051,Kia,2015
202055,Kia,2015
202057,Kia,2016
202058,Kia,2013
202062,Kia,2014
202063,Kia,2014
202077,Kia,2019
202081,Kia,2016
202094,Kia,2013
202098,Kia,2014
202101,Kia,2015
202103,Kia,2013
202109,Kia,2016
202111,Kia,2016
202116,Kia,2016
202117,Kia,2016
202128,Kia,2013
202136,Kia,2014
202170,Kia,2015
202196,Kia,2015
202202,Kia,2013
202222,Kia,2013
202223,Kia,2014
202224,Kia,2011
202227,Kia,2013
202228,Kia,2013
202229,Kia,2016
202231,Kia,2016
202236,Kia,2013
202242,Kia,2013
202267,Kia,2014
202278,Kia,2013
202287,Kia,2014
202292,Kia,2014
202294,Kia,2014
202300,Kia,2014
202303,Kia,2014
202311,Kia,2016
202343,Kia,2014
202371,Kia,2015
202372,Kia,2015
202373,Kia,2003
202386,Kia,2014
202409,Kia,2013
202430,Kia,2015
202452,Kia,2003
202464,Kia,2016
202468,Kia,2013
202475,Kia,2016
202477,Kia,2006
202484,Kia,2018
202488,Kia,2014
202496,Kia,2016
202497,Kia,2004
202500,Kia,2014
202501,Kia,2013
202511,Kia,2016
202512,Kia,2011
202518,Kia,2016
202523,Kia,2016
202525,Kia,2016
202527,Kia,2014
202534,Kia,2016
202535,Kia,2018
202536,Kia,2014
202541,Kia,2016
202553,Kia,2016
202560,Kia,2022
202561,Kia,2021
202567,Kia,2013
202572,Kia,2018
202588,Kia,2018
202596,Kia,2018
202605,Kia,2021
202624,Kia,2014
202638,Kia,2016
202660,Kia,2017
202662,Kia,2015
202675,Kia,2017
202684,Kia,2018
202687,Kia,2003
202688,Kia,2018
202689,Kia,2013
202694,Kia,2014
202703,Kia,2017
202706,Kia,2012
202707,Kia,2016
202710,Kia,2003
202723,Kia,2019
202724,Kia,2013
202732,Kia,2003
202733,Kia,2018
202742,Kia,2012
202743,Kia,2017
202745,Kia,2018
202750,Kia,2012
202751,Kia,2017
202752,Kia,2017
202753,Kia,2018
202758,Kia,2018
202759,Kia,2013
202762,Kia,2017
202763,Kia,2016
202775,Kia,2013
202792,Kia,2014
202795,Kia,2013
202803,Kia,2013
202804,Kia,2014
202805,Kia,2016
202808,Kia,2013
202813,Kia,2013
202816,Kia,2016
202817,Kia,2013
202830,Kia,2005
202832,Kia,2013
202842,Kia,2014
202857,Kia,2014
202859,Kia,2013
202861,Kia,2019
202880,Kia,2019
202881,Kia,2013
202898,Kia,2013
202900,Kia,2013
202907,Kia,2014
202910,Kia,2009
202922,Kia,2016
202924,Kia,2015
202936,Kia,2014
202940,Kia,2016
202941,Kia,2009
202942,Kia,2009
202952,Kia,2016
202964,Kia,2009
202968,Kia,2020
202990,Kia,2020
202992,Kia,2020
202994,Kia,2019
202998,Kia,2020
203000,Kia,2016
203006,Kia,2018
203008,Kia,2020
203018,Kia,2016
203021,Kia,2020
203023,Kia,2018
203025,Kia,2016
203038,Kia,2020
203041,Kia,2016
203043,Kia,2020
203045,Kia,2018
203050,Kia,2016
203051,Kia,2016
203054,Kia,2016
203061,Kia,2013
203075,Kia,2016
203079,Kia,2016
203082,Kia,2021
203086,Kia,2016
203093,Kia,2016
203094,Kia,2016
203096,Kia,2016
203105,Kia,2016
203112,Kia,2013
203113,Kia,2016
203118,Kia,2013
203125,Kia,2016
203128,Kia,2016
203133,Kia,2021
203138,Kia,2016
203139,Kia,2013
203142,Kia,2016
203146,Kia,2016
203154,Kia,2013
203159,Kia,2013
203161,Kia,2013
203162,Kia,2016
203176,Kia,2013
203178,Kia,2013
203180,Kia,2013
203181,Kia,2013
203182,Kia,2018
203184,Kia,2013
203187,Kia,2013
203188,Kia,2018
203193,Kia,2015
203196,Kia,2016
203199,Kia,2020
203201,Kia,2016
203202,Kia,2018
203204,Kia,2013
203212,Kia,2015
203223,Kia,2015
203234,Kia,2015
203238,Kia,2014
203239,Kia,2016
203242,Kia,2014
203243,Kia,2014
203253,Kia,2014
203261,Kia,2003
203265,Kia,2017
203268,Kia,2017
203271,Kia,2013
203280,Kia,2015
203282,Kia,2013
203283,Kia,2016
203284,Kia,2014
203288,Kia,2016
203289,Kia,2015
203291,Kia,2016
203311,Kia,2013
203312,Kia,2013
203352,Kia,2015
203355,Kia,2016
203362,Kia,2020
203364,Kia,2003
203366,Kia,2015
203373,Kia,2004
203375,Kia,2017
203383,Kia,2015
203391,Kia,2015
203393,Kia,2003
203396,Kia,2015
203402,Kia,2015
203411,Kia,2017
203414,Kia,2003
203416,Kia,2015
203418,Kia,2020
203419,Kia,2013
203420,Kia,2013
203427,Kia,2013
203432,Kia,2013
203434,Kia,2015
203436,Kia,2015
203437,Kia,2015
203439,Kia,2015
203449,Kia,2013
203450,Kia,2013
203451,Kia,2012
203469,Kia,2014
203476,Kia,2016
203481,Kia,2013
203487,Kia,2016
203499,Kia,2004
203505,Kia,2014
203506,Kia,2013
203543,Kia,2014
203546,Kia,2014
203555,Kia,2016
203558,Kia,2010
203563,Kia,2010
203566,Kia,2010
203573,Kia,2014
203590,Kia,2010
203597,Kia,2013
203602,Kia,2016
203604,Kia,2014
203605,Kia,2013
203606,Kia,2014
203609,Kia,2016
203611,Kia,2010
203633,Kia,2016
203637,Kia,2015
203641,Kia,2016
203651,Kia,2004
203659,Kia,2014
203660,Kia,2016
203663,Kia,2013
203666,Kia,2016
203675,Kia,2016
203676,Kia,2013
203677,Kia,2016
203679,Kia,2013
203680,Kia,2015
203683,Kia,2013
203686,Kia,2022
203687,Kia,2015
203688,Kia,2021
203692,Kia,2004
203693,Kia,2013
203694,Kia,2016
203695,Kia,2013
203700,Kia,2019
203702,Kia,2013
203711,Kia,2013
203712,Kia,2013
203713,Kia,2004
203723,Kia,2016
203728,Kia,2014
203730,Kia,2009
203735,Kia,2015
203743,Kia,2015
203746,Kia,2011
203747,Kia,2014
203750,Kia,2017
203751,Kia,2016
203752,Kia,2016
203754,Kia,2009
203756,Kia,2016
203760,Kia,2016
203761,Kia,2014
203762,Kia,2016
203764,Kia,2016
203768,Kia,2015
203777,Kia,2014
203792,Kia,2002
203795,Kia,2014
203798,Kia,2016
203802,Kia,2020
203804,Kia,2015
203809,Kia,2020
203810,Kia,2010
203812,Kia,2010
203819,Kia,2016
203821,Kia,2010
203834,Kia,2016
203839,Kia,2015
203855,Kia,2010
203876,Kia,1996
203880,Kia,2012
203893,Kia,2016
203898,Kia,1996
203900,Kia,2013
203928,Kia,2014
203931,Kia,2003
203941,Kia,2019
203947,Kia,2012
203950,Kia,1993
203951,Kia,2014
203960,Kia,2016
203962,Kia,2016
203984,Kia,2003
203987,Kia,2014
203988,Kia,2016
204005,Kia,2019
204021,Kia,2008
204031,Kia,2004
204040,Kia,2014
204041,Kia,2017
204042,Kia,2013
204059,Kia,2013
204060,Kia,2013
204063,Kia,2016
204066,Kia,2004
204079,Kia,2013
204081,Kia,2016
204085,Kia,2018
204086,Kia,2016
204089,Kia,2009
204092,Kia,2016
204097,Kia,2013
204098,Kia,2013
204103,Kia,2016
204107,Kia,2018
204108,Kia,2014
204121,Kia,2013
204122,Kia,2013
204125,Kia,2016
204126,Kia,2018
204127,Kia,2014
204128,Kia,2014
204130,Kia,2016
204133,Kia,2015
204134,Kia,1999
204138,Kia,2014
204139,Kia,2013
204143,Kia,2011
204150,Kia,2014
204151,Kia,2015
204152,Kia,2019
204156,Kia,2013
204158,Kia,2020
204159,Kia,2013
204162,Kia,2015
204180,Kia,2013
204187,Kia,2019
204188,Kia,2019
204195,Kia,2022
204200,Kia,2014
204208,Kia,2014
204209,Kia,2015
204212,Kia,2014
204213,Kia,2019
204217,Kia,2014
204235,Kia,2013
204241,Kia,2013
204245,Kia,2013
204246,Kia,2017
204249,Kia,2015
204254,Kia,2013
204256,Kia,2013
204268,Kia,2016
204269,Kia,2014
204271,Kia,2013
204274,Kia,2014
204275,Kia,2010
204276,Kia,2013
204283,Kia,2016
204290,Kia,2014
204292,Kia,2016
204295,Kia,2017
204296,Kia,2016
204297,Kia,2013
204302,Kia,2015
204308,Kia,2017
204314,Kia,2016
204315,Kia,2013
204317,Kia,2014
204326,Kia,2019
204347,Kia,2014
204348,Kia,2008
204349,Kia,2016
204352,Kia,2013
204359,Kia,2015
204361,Kia,2020
204368,Kia,2014
204378,Kia,2016
204383,Kia,2014
204384,Kia,2013
204402,Kia,2013
204404,Kia,2013
204405,Kia,2016
204406,Kia,2018
204408,Kia,2020
204409,Kia,2013
204418,Kia,2020
204421,Kia,2016
204425,Kia,2019
204432,Kia,2016
204434,Kia,2017
204441,Kia,2013
204459,Kia,2019
204472,Kia,2015
204483,Kia,2014
204492,Kia,2020
204497,Kia,2014
204503,Kia,2018
204507,Kia,2015
204509,Kia,2016
204520,Kia,2010
204531,Kia,2013
204535,Kia,2004
204555,Kia,2021
204562,Kia,2016
204563,Kia,2015
204568,Kia,2014
204572,Kia,2018
204581,Kia,2013
204583,Kia,2014
204594,Kia,2016
204597,Kia,2016
204598,Kia,2013
204601,Kia,2014
204623,Kia,2011
204624,Kia,2014
204635,Kia,2016
204637,Kia,2014
204638,Kia,2016
204646,Kia,2014
204653,Kia,2013
204655,Kia,2014
204656,Kia,2014
204657,Kia,2013
204672,Kia,2013
204682,Kia,2013
204684,Kia,2016
204691,Kia,2013
204700,Kia,2014
204707,Kia,2016
204708,Kia,2006
204711,Kia,2016
204717,Kia,2021
204724,Kia,2013
204729,Kia,2016
204742,Kia,2016
204745,Kia,2018
204749,Kia,2013
204754,Kia,2013
204757,Kia,2015
204758,Kia,2015
204765,Kia,2008
204775,Kia,2013
204786,Kia,2018
204792,Kia,2013
204795,Kia,2016
204796,Kia,2013
204809,Kia,2013
204824,Kia,2016
204825,Kia,2016
204840,Kia,2005
204846,Kia,2015
204850,Kia,2016
204853,Kia,2022
204862,Kia,2013
204867,Kia,2013
204868,Kia,2013
204869,Kia,2013
204879,Kia,2014
204883,Kia,2018
204884,Kia,2016
204887,Kia,2016
204907,Kia,2013
204909,Kia,2020
204910,Kia,2014
204911,Kia,2013
204915,Kia,2016
204916,Kia,2020
204918,Kia,2013
204937,Kia,2013
204940,Kia,2014
204941,Kia,2014
204944,Kia,2016
204945,Kia,2015
204952,Kia,2013
204955,Kia,2014
204968,Kia,2016
204970,Kia,2013
204987,Kia,2011
204988,Kia,2016
204990,Kia,2012
204991,Kia,2017
204993,Kia,2014
204997,Kia,2018
204998,Kia,2003
205026,Kia,2017
205029,Kia,2016
205035,Kia,2014
205037,Kia,2016
205060,Kia,2013
205066,Kia,2013
205067,Kia,2014
205071,Kia,2015
205072,Kia,2016
205095,Kia,2019
205102,Kia,2013
205137,Kia,2019
205144,Kia,2020
205146,Kia,2009
205152,Kia,2013
205155,Kia,2013
205158,Kia,2017
205165,Kia,2013
205166,Kia,2020
205177,Kia,2016
205185,Kia,2016
205195,Kia,2016
205198,Kia,2020
205205,Kia,2013
205212,Kia,2016
205220,Kia,2013
205224,Kia,2020
205226,Kia,2016
205227,Kia,2015
205228,Kia,2019
205230,Kia,2016
205231,Kia,2016
205233,Kia,2016
205236,Kia,2016
205237,Kia,2016
205253,Kia,2021
205269,Kia,2014
205272,Kia,2015
205273,Kia,2013
205276,Kia,2013
205281,Kia,2014
205295,Kia,2011
205302,Kia,2013
205304,Kia,2015
205312,Kia,2012
205316,Kia,2019
205317,Kia,2013
205318,Kia,2013
205321,Kia,2011
205327,Kia,2016
205331,Kia,2016
205337,Kia,2016
205346,Kia,2014
205361,Kia,2014
205362,Kia,2013
205374,Kia,2019
205378,Kia,2016
205379,Kia,2014
205385,Kia,2014
205396,Kia,2020
205402,Kia,2016
205410,Kia,2012
205420,Kia,2003
205423,Kia,2013
205428,Kia,2012
205434,Kia,2020
205446,Kia,2016
205448,Kia,2008
205458,Kia,2016
205459,Kia,2010
205465,Kia,2004
205479,Kia,2016
205485,Kia,2017
205486,Kia,2015
205488,Kia,2013
205497,Kia,2004
205498,Kia,2013
205514,Kia,2011
205515,Kia,2012
205516,Kia,2011
205535,Kia,2016
205545,Kia,2016
205548,Kia,2014
205558,Kia,2011
205559,Kia,2003
205562,Kia,2011
205565,Kia,2011
205566,Kia,2003
205568,Kia,2014
205570,Kia,2016
205579,Kia,2016
205594,Kia,2019
205601,Kia,2018
205605,Kia,2019
205610,Kia,2019
205621,Kia,2017
205622,Kia,2009
205628,Kia,2018
205630,Kia,2018
205636,Kia,2013
205638,Kia,2020
205639,Kia,2003
205645,Kia,2012
205646,Kia,2018
205648,Kia,2018
205653,Kia,2010
205656,Kia,2003
205658,Kia,2013
205659,Kia,2014
205663,Kia,2014
205664,Kia,2013
205666,Kia,2014
205667,Kia,2013
205671,Kia,2013
205681,Kia,2003
205686,Kia,2013
205692,Kia,2013
205697,Kia,2003
205699,Kia,2003
205704,Kia,2003
205706,Kia,2013
205707,Kia,2013
205708,Kia,2013
205709,Kia,2010
205710,Kia,2014
205714,Kia,2014
205715,Kia,2019
205719,Kia,2013
205724,Kia,2014
205757,Kia,2013
205758,Kia,2014
